# index, meta, _pos
3351,20593,"array([-10.87782686,  -2.52998453])"
3352,712619,"array([-10.82453614,  -2.54815062])"
3353,128749,"array([-10.82630499,  -2.5451633 ])"
3354,74442,"array([-10.81151299,  -2.55277669])"
3355,836351,"array([-10.82005185,  -2.5447966 ])"
3356,11914,"array([-10.81009434,  -2.50745471])"
3357,33231,"array([-10.8776727 ,  -2.53604073])"
3358,29723,"array([-10.87956972,  -2.53989646])"
3359,1119703,"array([-10.78382472,  -2.54217078])"
3360,56528,"array([-10.78777361,  -2.54196322])"
3361,27644,"array([-10.82939843,  -2.55759369])"
3362,27642,"array([-10.82385553,  -2.55831977])"
3363,1153262,"array([-10.85608027,  -2.52297993])"
3364,208399,"array([-10.88227762,  -2.56129363])"
3365,76810,"array([-10.88906841,  -2.56365047])"
3366,1108331,"array([-10.83544444,  -2.54082478])"
3367,66950,"array([-10.83972598,  -2.53749786])"
3368,13354,"array([-10.80705441,  -2.52133282])"
3369,539132,"array([-10.85521155,  -2.51414694])"
3370,20404,"array([-10.85631036,  -2.5165807 ])"
3371,121496,"array([-10.79094338,  -2.54044126])"
3372,6233,"array([-10.85661382,  -2.52386789])"
3373,1379,"array([-10.86052852,  -2.52281391])"
3374,1124091,"array([-10.80476922,  -2.52164612])"
3375,285684,"array([-10.86918601,  -2.55515485])"
3376,7921,"array([-10.86663557,  -2.56190206])"
3377,66272,"array([-10.79592124,  -2.53194227])"
3378,1114324,"array([-10.81615934,  -2.54513797])"
3379,488939,"array([-10.83353824,  -2.51991256])"
3380,1113783,"array([-10.87345988,  -2.51135106])"
3381,1116181,"array([-10.88150313,  -2.5188847 ])"
3382,20972,"array([-10.87223531,  -2.52592481])"
3383,86766,"array([-10.80118154,  -2.56715738])"
3384,1126106,"array([-10.82617648,  -2.55854873])"
3385,50432,"array([-10.81100222,  -2.55395357])"
3386,133410,"array([-10.82104158,  -2.55076201])"
3387,96379,"array([-10.87063613,  -2.5503809 ])"
3388,59866,"array([-10.87020921,  -2.54389553])"
3389,243448,"array([-10.81750063,  -2.55674254])"
3390,754697,"array([-10.86202456,  -2.53698665])"
3391,300071,"array([-10.87301777,  -2.54330166])"
3392,267217,"array([-10.87017751,  -2.53160261])"
3393,577505,"array([-10.85115826,  -2.52167444])"
3394,577487,"array([-10.84832808,  -2.51289846])"
3395,1106550,"array([-10.86464559,  -2.52931   ])"
3396,1119434,"array([-10.86592758,  -2.5550472 ])"
3397,1137644,"array([-10.83010981,  -2.54822821])"
3398,11388,"array([-10.87958609,  -2.5324848 ])"
3399,3217,"array([-10.87038851,  -2.52937296])"
3400,545521,"array([-10.83644774,  -2.57456753])"
3401,44640,"array([-10.80321653,  -2.52734559])"
3402,1135115,"array([-10.88890947,  -2.51410584])"
3403,395725,"array([-10.87855416,  -2.51721816])"
3404,1154794,"array([-10.81631767,  -2.56282362])"
3405,125637,"array([-10.81943407,  -2.55978756])"
3406,132581,"array([-10.85766786,  -2.54439998])"
3407,849275,"array([-10.82499915,  -2.55662581])"
3408,8466,"array([-10.81791723,  -2.55124715])"
3409,1153117,"array([-10.84393718,  -2.5824899 ])"
3410,545151,"array([-10.84353266,  -2.57576656])"
3411,444734,"array([-10.84066444,  -2.57594943])"
3412,1154057,"array([-10.88891949,  -2.55851792])"
3413,15987,"array([-10.88443864,  -2.52208534])"
3414,1106695,"array([-10.87014315,  -2.53497865])"
3415,6840,"array([-10.85995353,  -2.53663883])"
3416,103878,"array([-10.86781142,  -2.56608902])"
3417,1138946,"array([-10.81790082,  -2.55698884])"
3418,94124,"array([-10.81727787,  -2.55313429])"
3419,131709,"array([-10.84483252,  -2.57480697])"
3420,6524,"array([-10.84379875,  -2.57237996])"
3421,9695,"array([-10.86424176,  -2.51694679])"
3422,3925,"array([-10.85882091,  -2.51670932])"
3423,41394,"array([-10.8266573 ,  -2.56760232])"
3424,146753,"array([-10.82592236,  -2.56321024])"
3425,41429,"array([-10.82337665,  -2.55658375])"
3426,43418,"array([-10.81024612,  -2.53868047])"
3427,147651,"array([-10.81384316,  -2.54492606])"
3428,184,"array([-10.85085632,  -2.51545599])"
3429,965721,"array([-10.81057006,  -2.53722041])"
3430,39195,"array([-10.81670133,  -2.54787543])"
3431,682435,"array([-10.81820704,  -2.56487795])"
3432,252141,"array([-10.82115735,  -2.55983809])"
3433,26102,"array([-10.83035412,  -2.51549922])"
3434,26080,"array([-10.83031105,  -2.51613804])"
3435,1104351,"array([-10.81771078,  -2.58205487])"
3436,29191,"array([-10.82166283,  -2.57079665])"
3437,351818,"array([-10.80804151,  -2.5097738 ])"
3438,19199,"array([-10.8052691 ,  -2.51422293])"
3439,7862,"array([-10.83037812,  -2.52500076])"
3440,1114691,"array([-10.79455793,  -2.53677299])"
3441,275673,"array([-10.83471699,  -2.50999057])"
3442,600410,"array([-10.8500429 ,  -2.54628491])"
3443,96806,"array([-10.84499738,  -2.54309028])"
3444,285687,"array([-10.86602603,  -2.54843205])"
3445,35343,"array([-10.87010401,  -2.54866544])"
3446,1152104,"array([-10.83253337,  -2.53585215])"
3447,16330,"array([-10.84336955,  -2.53318507])"
3448,863782,"array([-10.83307256,  -2.55326514])"
3449,6957,"array([-10.76917006,  -2.52683478])"
3450,1153567,"array([-10.82554241,  -2.51174956])"
3451,12852,"array([-10.84424257,  -2.5080132 ])"
3452,23149,"array([-10.80855472,  -2.5549736 ])"
3453,17392,"array([-10.80668063,  -2.55157641])"
3454,1103538,"array([-10.81433982,  -2.55696526])"
3455,25346,"array([-10.80967578,  -2.55621667])"
3456,5561,"array([-10.80921585,  -2.55221175])"
3457,21428,"array([-10.86496629,  -2.55882338])"
3458,1154124,"array([-10.8936198 ,  -2.54509119])"
3459,202639,"array([-10.88810182,  -2.5427726 ])"
3460,117999,"array([-10.80470488,  -2.54627824])"
3461,139775,"array([-10.80091613,  -2.5459939 ])"
3462,310416,"array([-10.82170212,  -2.5581882 ])"
3463,64074,"array([-10.87240238,  -2.5385822 ])"
3464,6216,"array([-10.87021058,  -2.53415469])"
3465,1121201,"array([-10.84244983,  -2.53243946])"
3466,1046409,"array([-10.82939524,  -2.55859941])"
3467,3457,"array([-10.84173271,  -2.52370573])"
3468,131959,"array([-10.7952    ,  -2.54085366])"
3469,5806,"array([-10.79747651,  -2.54158504])"
3470,1127698,"array([-10.81362352,  -2.53143485])"
3471,218433,"array([-10.81671796,  -2.53733531])"
3472,10095,"array([-10.8150579 ,  -2.55807944])"
3473,186019,"array([-10.86249335,  -2.53690575])"
3474,1125386,"array([-10.87428174,  -2.52535631])"
3475,59953,"array([-10.82744033,  -2.55250072])"
3476,898644,"array([-10.81254268,  -2.55189445])"
3477,1110874,"array([-10.8313473,  -2.5227585])"
3478,185386,"array([-10.80628246,  -2.56329374])"
3479,1135090,"array([-10.88252612,  -2.54916262])"
3480,733167,"array([-10.88780265,  -2.55113302])"
3481,22563,"array([-10.87665801,  -2.53093344])"
3482,36140,"array([-10.86936724,  -2.53263061])"
3483,1140863,"array([-10.83246802,  -2.54735173])"
3484,41128,"array([-10.83101871,  -2.55484389])"
3485,1119382,"array([-10.80465342,  -2.57440741])"
3486,18842,"array([-10.80940422,  -2.56837044])"
3487,1108147,"array([-10.84365181,  -2.50235064])"
3488,1154727,"array([-10.77590467,  -2.52122755])"
3489,846427,"array([-10.78449837,  -2.52419643])"
3490,226879,"array([-10.83048597,  -2.51194647])"
3491,1138105,"array([-10.7988479 ,  -2.55830296])"
3492,61979,"array([-10.80779363,  -2.5581981 ])"
3493,1132816,"array([-10.80070633,  -2.55194618])"
3494,13021,"array([-10.80920469,  -2.5465442 ])"
3495,593051,"array([-10.84473938,  -2.53666815])"
3496,593022,"array([-10.85174229,  -2.53068292])"
3497,39080,"array([-10.87550659,  -2.53030092])"
3498,39127,"array([-10.88195905,  -2.52902555])"
3499,1129897,"array([-10.82086867,  -2.54473665])"
3500,1133349,"array([-10.8699305 ,  -2.55521065])"
3501,297580,"array([-10.86615075,  -2.54919565])"
3502,1123496,"array([-10.86444776,  -2.57942386])"
3503,12797,"array([-10.86018148,  -2.57625624])"
3504,1139147,"array([-10.81992033,  -2.51615477])"
3505,688935,"array([-10.80303852,  -2.55753266])"
3506,142095,"array([-10.80284009,  -2.55387945])"
3507,234227,"array([-10.88579196,  -2.52835189])"
3508,1154840,"array([-10.81553671,  -2.54661296])"
3509,40030,"array([-10.81565943,  -2.54911262])"
3510,1106630,"array([-10.87405526,  -2.53079691])"
3511,835410,"array([-10.84261982,  -2.54108078])"
3512,155650,"array([-10.8481236 ,  -2.55179165])"
3513,221302,"array([-10.85051202,  -2.52337319])"
3514,109705,"array([-10.85687284,  -2.52943319])"
3515,1128380,"array([-10.81117194,  -2.55610166])"
3516,67496,"array([-10.80972044,  -2.55542208])"
3517,8692,"array([-10.85371104,  -2.51459169])"
3518,895613,"array([-10.8346232 ,  -2.53320352])"
3519,135682,"array([-10.82548531,  -2.5151958 ])"
3520,1139821,"array([-10.81777513,  -2.52837359])"
3521,843312,"array([-10.82021244,  -2.53710791])"
3522,39215,"array([-10.82462017,  -2.52249359])"
3523,542086,"array([-10.8139807 ,  -2.55454538])"
3524,1152556,"array([-10.85878876,  -2.52555983])"
3525,77438,"array([-10.85811944,  -2.53123074])"
3526,1111613,"array([-10.81876478,  -2.55210942])"
3527,75749,"array([-10.82359229,  -2.54991026])"
3528,1912,"array([-10.8377564 ,  -2.51973453])"
3529,847877,"array([-10.79692613,  -2.54440649])"
3530,13513,"array([-10.79696191,  -2.54164662])"
3531,22212,"array([-10.81858555,  -2.56128208])"
3532,250329,"array([-10.81640729,  -2.56644887])"
3533,5779,"array([-10.8073638 ,  -2.51374203])"
3534,13967,"array([-10.87179046,  -2.53123735])"
3535,49530,"array([-10.82826459,  -2.5505705 ])"
3536,68486,"array([-10.81712327,  -2.54951136])"
3537,1106531,"array([-10.85244977,  -2.52139184])"
3538,30848,"array([-10.85121516,  -2.52352304])"
3539,1122642,"array([-10.90397886,  -2.52326307])"
3540,90655,"array([-10.90457332,  -2.52090714])"
3541,1103038,"array([-10.8875746 ,  -2.53379683])"
3542,14529,"array([-10.87954024,  -2.53182941])"
3543,9793,"array([-10.85024402,  -2.52955642])"
3544,9792,"array([-10.84973816,  -2.53075508])"
3545,1154562,"array([-10.82182645,  -2.54938881])"
3546,320346,"array([-10.81296836,  -2.52921235])"
3547,48781,"array([-10.83955968,  -2.54708428])"
3548,423816,"array([-10.84295676,  -2.55176914])"
3549,452469,"array([-10.79359076,  -2.55703331])"
3550,613033,"array([-10.83321814,  -2.56266248])"
3551,171995,"array([-10.80603444,  -2.51390897])"
3552,29108,"array([-10.80797599,  -2.51437777])"
3553,1128865,"array([-10.87895001,  -2.52039068])"
3554,1130425,"array([-10.85622269,  -2.54409516])"
3555,21033,"array([-10.8527201 ,  -2.53667194])"
3556,461663,"array([-10.80630999,  -2.55288071])"
3557,1154517,"array([-10.8477239 ,  -2.53795273])"
3558,800824,"array([-10.84277971,  -2.54633047])"
3559,1108611,"array([-10.83941268,  -2.49536639])"
3560,14109,"array([-10.84127593,  -2.5023071 ])"
3561,116149,"array([-10.83145268,  -2.50707089])"
3562,2277,"array([-10.83352032,  -2.51216181])"
3563,47496,"array([-10.79278833,  -2.51908447])"
3564,1106495,"array([-10.83120392,  -2.51988755])"
3565,18576,"array([-10.82064698,  -2.5621008 ])"
3566,145514,"array([-10.87042747,  -2.56785683])"
3567,369109,"array([-10.87567266,  -2.57914712])"
3568,423511,"array([-10.83575451,  -2.50810568])"
3569,153692,"array([-10.83607434,  -2.51044025])"
3570,25558,"array([-10.84888399,  -2.5302755 ])"
3571,226073,"array([-10.84612534,  -2.55873632])"
3572,20789,"array([-10.84494981,  -2.5549123 ])"
3573,18351,"array([-10.82664321,  -2.54615488])"
3574,15816,"array([-10.8425569 ,  -2.50911759])"
3575,15852,"array([-10.83862939,  -2.5139975 ])"
3576,1105894,"array([-10.89545942,  -2.57214926])"
3577,49352,"array([-10.88766945,  -2.56668746])"
3578,51715,"array([-10.87326518,  -2.50943723])"
3579,48351,"array([-10.86127471,  -2.5090473 ])"
3580,58812,"array([-10.7958708 ,  -2.54929994])"
3581,5483,"array([-10.79667615,  -2.55003173])"
3582,9781,"array([-10.85064071,  -2.52766796])"
3583,59658,"array([-10.85138023,  -2.53181757])"
3584,1136814,"array([-10.84988698,  -2.52052671])"
3585,100918,"array([-10.80712408,  -2.54588237])"
3586,28511,"array([-10.86192451,  -2.5321112 ])"
3587,798365,"array([-10.82465106,  -2.53817621])"
3588,682973,"array([-10.84632094,  -2.53204068])"
3589,32050,"array([-10.84610255,  -2.51358845])"
3590,1102503,"array([-10.81481547,  -2.51833309])"
3591,3622,"array([-10.8094154 ,  -2.51796886])"
3592,1153246,"array([-10.87212344,  -2.52349598])"
3593,11339,"array([-10.87487857,  -2.52877197])"
3594,19034,"array([-10.81381152,  -2.55603845])"
3595,283773,"array([-10.84094982,  -2.54498499])"
3596,1131389,"array([-10.8927712 ,  -2.48354913])"
3597,647617,"array([-10.89658478,  -2.47880956])"
3598,1152863,"array([-10.8048876 ,  -2.55204748])"
3599,197054,"array([-10.87272518,  -2.52293972])"
3600,41714,"array([-10.87195423,  -2.5242658 ])"
3601,1154742,"array([-10.80451442,  -2.54861591])"
3602,3442,"array([-10.80462302,  -2.54707901])"
3603,1112021,"array([-10.81080264,  -2.54820542])"
3604,1154004,"array([-10.82095972,  -2.50648526])"
3605,624950,"array([-10.81751491,  -2.49752664])"
3606,1152316,"array([-10.8055498 ,  -2.56443069])"
3607,69503,"array([-10.81349383,  -2.56908322])"
3608,1153771,"array([-10.86556952,  -2.54686344])"
3609,1127196,"array([-10.80536726,  -2.52235367])"
3610,1114690,"array([-10.84581831,  -2.54254127])"
3611,3271,"array([-10.83931699,  -2.53857418])"
3612,60767,"array([-10.87856883,  -2.5149382 ])"
3613,6614,"array([-10.87795671,  -2.52426616])"
3614,706070,"array([-10.82214603,  -2.55425974])"
3615,1105694,"array([-10.82358374,  -2.54193018])"
3616,70852,"array([-10.82509912,  -2.54702616])"
3617,12851,"array([-10.85152652,  -2.50919876])"
3618,1152726,"array([-10.80473377,  -2.56156298])"
3619,248565,"array([-10.80490604,  -2.555534  ])"
3620,4939,"array([-10.88816915,  -2.58397936])"
3621,4940,"array([-10.89084232,  -2.58439134])"
3622,47153,"array([-10.79789472,  -2.56073174])"
3623,117827,"array([-10.85272122,  -2.52185718])"
3624,103413,"array([-10.87334218,  -2.55000949])"
3625,151605,"array([-10.79424776,  -2.52212957])"
3626,44854,"array([-10.79623147,  -2.52405364])"
3627,252126,"array([-10.81396448,  -2.55519713])"
3628,63035,"array([-10.81161442,  -2.55461469])"
3629,167570,"array([-10.81243894,  -2.54818539])"
3630,51510,"array([-10.80853582,  -2.54559269])"
3631,609397,"array([-10.88539989,  -2.55281024])"
3632,645702,"array([-10.88842097,  -2.55405629])"
3633,712281,"array([-10.81116095,  -2.50206836])"
3634,59603,"array([-10.81196439,  -2.50111176])"
3635,10745,"array([-10.80434531,  -2.54033163])"
3636,36213,"array([-10.8194925 ,  -2.55133084])"
3637,51,"array([-10.81416833,  -2.55238562])"
3638,1154134,"array([-10.86169628,  -2.53616221])"
3639,285529,"array([-10.86521759,  -2.54006161])"
3640,1152106,"array([-10.80101745,  -2.56032822])"
3641,13628,"array([-10.80359811,  -2.55977812])"
3642,108857,"array([-10.81127219,  -2.5006718 ])"
3643,18763,"array([-10.82869604,  -2.49309044])"
3644,18764,"array([-10.82797626,  -2.48411342])"
3645,30000,"array([-10.80202544,  -2.55472738])"
3646,8982,"array([-10.83068701,  -2.55670215])"
3647,20850,"array([-10.87315545,  -2.52860931])"
3648,830014,"array([-10.84361145,  -2.52885072])"
3649,48902,"array([-10.84859397,  -2.51012627])"
3650,18732,"array([-10.84758651,  -2.50429566])"
3651,1120906,"array([-10.79744949,  -2.5371998 ])"
3652,55588,"array([-10.80871947,  -2.53343574])"
3653,1138056,"array([-10.83515452,  -2.51179565])"
3654,316363,"array([-10.83409009,  -2.50730816])"
3655,700535,"array([-10.8197169 ,  -2.55829452])"
3656,706949,"array([-10.84162979,  -2.54188139])"
3657,74177,"array([-10.84321507,  -2.54364704])"
3658,1128204,"array([-10.8664914 ,  -2.51113763])"
3659,58758,"array([-10.86391781,  -2.50917321])"
3660,1110198,"array([-10.85400264,  -2.51281012])"
3661,170799,"array([-10.84514495,  -2.51925192])"
3662,855244,"array([-10.84197324,  -2.54363018])"
3663,855287,"array([-10.84496104,  -2.55153238])"
3664,1121512,"array([-10.87093108,  -2.52609567])"
3665,1152222,"array([-10.84610401,  -2.51162337])"
3666,102202,"array([-10.84177383,  -2.54662268])"
3667,1149,"array([-10.84380946,  -2.54937937])"
3668,167670,"array([-10.87692594,  -2.53232502])"
3669,689152,"array([-10.88988196,  -2.53570268])"
3670,117030,"array([-10.87926022,  -2.53484799])"
3671,1126317,"array([-10.86355302,  -2.55181495])"
3672,1105974,"array([-10.81516021,  -2.5518839 ])"
3673,320489,"array([-10.84613839,  -2.54751803])"
3674,29986,"array([-10.83329796,  -2.54430299])"
3675,5778,"array([-10.81838986,  -2.50886901])"
3676,12195,"array([-10.85895787,  -2.53142309])"
3677,1138180,"array([-10.85921282,  -2.50730597])"
3678,502938,"array([-10.80581876,  -2.5115092 ])"
3679,7386,"array([-10.80507914,  -2.51015671])"
3680,800822,"array([-10.84038353,  -2.53839921])"
3681,1153569,"array([-10.83618928,  -2.50675696])"
3682,114618,"array([-10.84321093,  -2.4987898 ])"
3683,242796,"array([-10.8662337 ,  -2.52922244])"
3684,7419,"array([-10.86668302,  -2.53478707])"
3685,1138229,"array([-10.80271694,  -2.56208497])"
3686,605,"array([-10.81191515,  -2.53989348])"
3687,1139459,"array([-10.83508237,  -2.53467619])"
3688,832004,"array([-10.83992645,  -2.53347175])"
3689,1141229,"array([-10.80745168,  -2.56940562])"
3690,13325,"array([-10.82389892,  -2.57089922])"
3691,1110024,"array([-10.87127727,  -2.51718607])"
3692,15889,"array([-10.86158021,  -2.52009471])"
3693,373878,"array([-10.86589246,  -2.51330773])"
3694,37486,"array([-10.86386285,  -2.51387086])"
3695,89406,"array([-10.80146999,  -2.52830885])"
3696,89399,"array([-10.80733739,  -2.53349697])"
3697,1154257,"array([-10.80851507,  -2.55768395])"
3698,222778,"array([-10.80263768,  -2.54593873])"
3699,5149,"array([-10.80551881,  -2.54682077])"
3700,705835,"array([-10.81612624,  -2.51707311])"
3701,27974,"array([-10.81222108,  -2.51563628])"
3702,57283,"array([-10.83551486,  -2.51793229])"
3703,67136,"array([-10.88022758,  -2.54919081])"
3704,3366,"array([-10.87715429,  -2.55860573])"
3705,1341,"array([-10.80385738,  -2.55616015])"
3706,1109667,"array([-10.87661338,  -2.5344911 ])"
3707,31483,"array([-10.87476506,  -2.53229546])"
3708,1153584,"array([-10.8085453 ,  -2.53701517])"
3709,24738,"array([-10.80596728,  -2.53956564])"
3710,764293,"array([-10.85416739,  -2.56406644])"
3711,122345,"array([-10.86123734,  -2.56241805])"
3712,1154310,"array([-10.87895645,  -2.5238431 ])"
3713,804006,"array([-10.7967338 ,  -2.55942847])"
3714,67731,"array([-10.79967331,  -2.5603097 ])"
3715,231945,"array([-10.82056086,  -2.57644651])"
3716,13323,"array([-10.82343767,  -2.57123107])"
3717,773149,"array([-10.83582628,  -2.55445236])"
3718,612678,"array([-10.83182423,  -2.55407525])"
3719,1104664,"array([-10.86309352,  -2.56586881])"
3720,49010,"array([-10.85471878,  -2.56800042])"
3721,46491,"array([-10.87594446,  -2.53088741])"
3722,1152146,"array([-10.81448966,  -2.55262035])"
3723,1041207,"array([-10.85554107,  -2.52993823])"
3724,137242,"array([-10.85901473,  -2.52778013])"
3725,67006,"array([-10.80559601,  -2.50008231])"
3726,67009,"array([-10.80211201,  -2.50559529])"
3727,1154022,"array([-10.87325851,  -2.53982115])"
3728,1135790,"array([-10.79779489,  -2.53149938])"
3729,768660,"array([-10.81559569,  -2.54344795])"
3730,436309,"array([-10.79795376,  -2.51725808])"
3731,372021,"array([-10.78642347,  -2.51763328])"
3732,1108924,"array([-10.88566977,  -2.54497008])"
3733,40125,"array([-10.89125362,  -2.54542952])"
3734,820661,"array([-10.83654632,  -2.49052892])"
3735,817774,"array([-10.8361241 ,  -2.48190746])"
3736,1153954,"array([-10.79917027,  -2.53679427])"
3737,25074,"array([-10.79859843,  -2.53029755])"
3738,6377,"array([-10.86086932,  -2.52917126])"
3739,864873,"array([-10.82598248,  -2.55369609])"
3740,59930,"array([-10.82482072,  -2.5543864 ])"
3741,44198,"array([-10.85741778,  -2.52275637])"
3742,227136,"array([-10.85372966,  -2.5276506 ])"
3743,1131281,"array([-10.88535126,  -2.56931631])"
3744,645146,"array([-10.89237966,  -2.57475408])"
3745,23518,"array([-10.88841643,  -2.53186555])"
3746,198938,"array([-10.81462905,  -2.54088269])"
3747,28254,"array([-10.87495519,  -2.53716982])"
3748,4768,"array([-10.80923715,  -2.55564491])"
3749,141171,"array([-10.88652282,  -2.5663502 ])"
3750,7532,"array([-10.87579908,  -2.56204114])"
3751,1951,"array([-10.8735329 ,  -2.51274105])"
3752,33483,"array([-10.85767228,  -2.55000506])"
3753,447011,"array([-10.84596702,  -2.55091531])"
3754,1152491,"array([-10.87049921,  -2.5318737 ])"
3755,3218,"array([-10.87444999,  -2.52755765])"
3756,200425,"array([-10.86032018,  -2.52540703])"
3757,1152529,"array([-10.82901127,  -2.55659442])"
3758,76371,"array([-10.832879  ,  -2.55528004])"
3759,612656,"array([-10.81570178,  -2.5712413 ])"
3760,140655,"array([-10.81733199,  -2.57200259])"
3761,144408,"array([-10.88711159,  -2.5372973 ])"
3762,1125046,"array([-10.86312074,  -2.51482597])"
3763,37489,"array([-10.86732278,  -2.50837946])"
3764,1010172,"array([-10.83456396,  -2.50060892])"
3765,1138604,"array([-10.82731439,  -2.57120761])"
3766,31198,"array([-10.82118181,  -2.57486067])"
3767,5308,"array([-10.82881638,  -2.56593312])"
3768,443148,"array([-10.835211  ,  -2.50166927])"
3769,10766,"array([-10.83754505,  -2.50324549])"
3770,1107160,"array([-10.8854277 ,  -2.51776355])"
3771,1121587,"array([-10.81752214,  -2.55123256])"
3772,1107423,"array([-10.84974389,  -2.50950097])"
3773,46666,"array([-10.83072058,  -2.54571114])"
3774,360448,"array([-10.80672118,  -2.55430288])"
3775,29076,"array([-10.79887504,  -2.54861872])"
3776,1105482,"array([-10.83035761,  -2.53002205])"
3777,9570,"array([-10.82928347,  -2.53125669])"
3778,676567,"array([-10.827539  ,  -2.57172274])"
3779,1154342,"array([-10.85562249,  -2.57581786])"
3780,782091,"array([-10.8668933 ,  -2.54804832])"
3781,58084,"array([-10.82125389,  -2.55740003])"
3782,144212,"array([-10.8783752 ,  -2.52642912])"
3783,193907,"array([-10.86326999,  -2.52521681])"
3784,85640,"array([-10.86222952,  -2.52333506])"
3785,644843,"array([-10.89218499,  -2.55588753])"
3786,643185,"array([-10.89166876,  -2.55347056])"
3787,34315,"array([-10.89087052,  -2.54679998])"
3788,83715,"array([-10.85607128,  -2.51494739])"
3789,20407,"array([-10.85929405,  -2.5162645 ])"
3790,15719,"array([-10.84867285,  -2.54173555])"
3791,13915,"array([-10.88118131,  -2.53843659])"
3792,23544,"array([-10.88198827,  -2.53655941])"
3793,104307,"array([-10.82961699,  -2.54806136])"
3794,1105232,"array([-10.80925558,  -2.51332066])"
3795,18555,"array([-10.80803868,  -2.51362536])"
3796,595461,"array([-10.82565057,  -2.53150396])"
3797,790893,"array([-10.82617401,  -2.52650117])"
3798,78009,"array([-10.8046544 ,  -2.54153955])"
3799,5785,"array([-10.79707456,  -2.53084762])"
3800,1133548,"array([-10.80420999,  -2.51459732])"
3801,698440,"array([-10.80181788,  -2.51281898])"
3802,74373,"array([-10.80684523,  -2.55303523])"
3803,655301,"array([-10.83416704,  -2.54155997])"
3804,475757,"array([-10.8380599 ,  -2.54653494])"
3805,39773,"array([-10.81798364,  -2.55218115])"
3806,17484,"array([-10.85993638,  -2.52975936])"
3807,1153750,"array([-10.7911896 ,  -2.53909133])"
3808,107056,"array([-10.79594305,  -2.54038238])"
3809,209075,"array([-10.81413444,  -2.56114732])"
3810,54795,"array([-10.81502636,  -2.55925505])"
3811,18554,"array([-10.80916432,  -2.52928134])"
3812,531653,"array([-10.84643708,  -2.57145347])"
3813,1108025,"array([-10.81212061,  -2.5561059 ])"
3814,1152277,"array([-10.86463838,  -2.55282777])"
3815,234312,"array([-10.79838286,  -2.49647293])"
3816,234313,"array([-10.80294921,  -2.50456053])"
3817,5933,"array([-10.86758763,  -2.55656241])"
3818,1104270,"array([-10.86114394,  -2.58112558])"
3819,12785,"array([-10.86510682,  -2.57620776])"
3820,1117348,"array([-10.88485461,  -2.54015066])"
3821,32874,"array([-10.86031989,  -2.55069807])"
3822,15087,"array([-10.80814762,  -2.55175508])"
3823,1152695,"array([-10.82416983,  -2.65139182])"
3824,51232,"array([-10.82393946,  -2.64704088])"
3825,1120544,"array([-10.80870968,  -2.52397112])"
3826,14192,"array([-10.81111193,  -2.52842874])"
3827,65650,"array([-10.87394504,  -2.53319   ])"
3828,38722,"array([-10.86731995,  -2.52855728])"
3829,13654,"array([-10.88194268,  -2.52715641])"
3830,1103095,"array([-10.88075564,  -2.51338374])"
3831,548145,"array([-10.85729107,  -2.59004597])"
3832,776434,"array([-10.85531694,  -2.59508177])"
3833,1564,"array([-10.83618345,  -2.51362794])"
3834,1129979,"array([-10.80973225,  -2.55815545])"
3835,522852,"array([-10.81407835,  -2.55919436])"
3836,1103800,"array([-10.86002379,  -2.57353846])"
3837,8421,"array([-10.85864108,  -2.57292979])"
3838,402622,"array([-10.8201885 ,  -2.55459243])"
3839,7483,"array([-10.80744773,  -2.54266108])"
3840,43372,"array([-10.81743612,  -2.55795865])"
3841,82436,"array([-10.81425454,  -2.51347416])"
3842,177544,"array([-10.85700366,  -2.52441014])"
3843,5963,"array([-10.86460165,  -2.52474481])"
3844,642847,"array([-10.89865029,  -2.55248278])"
3845,38537,"array([-10.89061281,  -2.54753429])"
3846,73145,"array([-10.87687231,  -2.53407822])"
3847,3222,"array([-10.87449603,  -2.53454708])"
3848,576278,"array([-10.78207413,  -2.5371276 ])"
3849,76914,"array([-10.78064823,  -2.528928  ])"
3850,216848,"array([-10.8729587 ,  -2.54756462])"
3851,4535,"array([-10.86651541,  -2.53919237])"
3852,95481,"array([-10.85177934,  -2.51336676])"
3853,116864,"array([-10.83138856,  -2.5565855 ])"
3854,598558,"array([-10.86187787,  -2.54124859])"
3855,30119,"array([-10.86168252,  -2.5373546 ])"
3856,829025,"array([-10.80292421,  -2.55701255])"
3857,114502,"array([-10.80079172,  -2.55633119])"
3858,755426,"array([-10.79631469,  -2.54234381])"
3859,24424,"array([-10.80743283,  -2.55064086])"
3860,50840,"array([-10.82626131,  -2.58192004])"
3861,50839,"array([-10.82740292,  -2.58207131])"
3862,42167,"array([-10.82504751,  -2.5146121 ])"
3863,84253,"array([-10.82340742,  -2.515507  ])"
3864,1129518,"array([-10.86372227,  -2.52959319])"
3865,189856,"array([-10.86675229,  -2.52469707])"
3866,182980,"array([-10.83190867,  -2.54210111])"
3867,182974,"array([-10.83015356,  -2.54468248])"
3868,713535,"array([-10.81739918,  -2.55938023])"
3869,1152860,"array([-10.85949565,  -2.50037681])"
3870,1112443,"array([-10.8003352 ,  -2.53636262])"
3871,62810,"array([-10.80534505,  -2.54012788])"
3872,1137117,"array([-10.81744405,  -2.55547713])"
3873,1154260,"array([-10.86763667,  -2.55317184])"
3874,4972,"array([-10.86093144,  -2.56447139])"
3875,1134688,"array([-10.77768389,  -2.5351854 ])"
3876,127321,"array([-10.78778729,  -2.5354774 ])"
